Year,IT01,IT02,IT03,IT04,ES01,ES02,ES03,ES04,ES05,ES06,ES07,ES08,ES09,ES10,ES11,ES12,ES13,ES14,ES15,ES16,ES17,ES18,ES19,ES20,PT01,FR01,FR02,FR03,FR04,FR05,FR06,FR07,FR08,FR09,FR10,FR11,FR12,FR13,FR14,FR15,GB01,GB02,GB03,BE01,BE02,BE03,BE04,NL01,DE01,DE02,DE03,DE04,DE05,DE06,DE07,DE08,CH01,CH02,CH03,CH04,CH05,CH06,CH07,CH08,CH09,CH10,CH11,AT01,AT02,HR01,HU01,HU02,HU03,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,PL01,PL02,NO01,NO02,NO03,NO04,NO05,NO06,NO07,NO08,NO09,NO10,SE01,SE02,SE03,SE04,LV01,RU01,RU02,RU03,RU04,RU05
1510,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1511,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1512,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1513,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1514,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1515,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1516,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1517,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1518,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1519,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1520,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1521,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1522,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1523,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1524,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1525,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1526,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1527,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1528,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1529,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1530,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1531,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1532,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1533,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1534,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1535,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1536,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1537,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1538,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1539,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1540,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1541,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1542,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1543,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1544,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1545,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1546,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,1,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1547,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,2,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1
1548,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,2,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1
1549,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,2,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1
1550,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,2,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1
1551,3,3,3,2,2,2,1,3,2,2,2,1,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,2,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1
1552,3,3,3,2,2,2,1,3,2,2,2,2,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,2,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1
1553,3,3,3,2,2,2,1,3,2,2,2,2,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,2,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1
1554,3,3,3,2,2,2,1,3,2,2,2,2,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,2,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1
1555,3,3,3,2,2,2,1,3,2,2,2,2,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,2,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1
1556,3,3,3,2,2,2,1,3,2,2,2,2,2,3,1,1,2,3,3,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,3,2,2,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1
1557,3,3,3,2,2,2,1,3,2,2,2,2,2,3,1,1,2,3,3,1,2,2,2,2,2,2,2,3,3,2,2,3,2,1,1,3,1,3,2,2,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1,1
1558,3,3,3,2,2,2,1,3,2,2,2,2,2,3,1,1,2,3,3,1,2,2,2,2,2,2,2,3,3,2,2,3,2,1,1,3,1,3,2,2,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1,1
1559,3,3,3,2,2,2,1,3,2,2,2,2,2,3,1,1,2,3,3,1,2,2,2,2,2,2,2,3,3,2,2,3,2,1,1,3,1,3,2,2,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1,1
1560,3,3,3,2,2,2,1,3,2,2,2,2,2,3,1,1,2,3,3,1,2,2,2,2,2,2,2,3,3,2,2,3,2,1,1,3,1,3,2,2,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1,1
1561,3,3,3,2,2,2,1,3,2,2,2,2,2,3,1,1,2,3,3,1,2,2,2,2,2,2,2,3,3,2,2,3,2,1,1,3,1,3,2,2,1,1,1,2,1,2,3,4,3,2,3,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,1,4,1,2,3,2,1,2,3,2,2,3,2,2,3,3,3,1,1,2,2,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1,1
